"Geographic.Area.Code","Geographic.Area.Name","Geographic.Area.Level","Parent.Geographic.Area.Code","Parent.Geographic.Area.Name","Geographic.Area.Type","X","Y","ISO.Code","Units.Code","Units.Desc","Time.Series.Id","Time.Series.Keys","Number.of.Years.Available","Earliest.Year.Available","Latest.Year.Available","Available.Years","Value.2000","Value.2005","Value.2010","Value.2015","Value.2019","ObjectId","x2","y2"
583,"Micronesia (Federated States of)",4,543,"Oceania (exc. Australia and New Zealand)","Country",158.225216,6.880670092,"FSM","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",1.33183,0.96771,0.95237,0.81375,0.8457,38,17613550.4757757,767800.412263201
583,"Micronesia (Federated States of)",4,543,"Oceania (exc. Australia and New Zealand)","Country",158.225216,6.880670092,"FSM","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",1.33183,0.96771,0.95237,0.81375,0.8457,39,17613550.4757757,767800.412263201
583,"Micronesia (Federated States of)",4,543,"Oceania (exc. Australia and New Zealand)","Country",158.225216,6.880670092,"FSM","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",6.36381,4.57586,4.63932,3.96679,4.13987,40,17613550.4757757,767800.412263201
583,"Micronesia (Federated States of)",4,543,"Oceania (exc. Australia and New Zealand)","Country",158.225216,6.880670092,"FSM","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",6.36381,4.57586,4.63932,3.96679,4.13987,41,17613550.4757757,767800.412263201
496,"Mongolia",4,30,"Eastern Asia","Country",103.0728057,46.83892054,"MNG","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.28647,3.88767,7.10366,8.5081,5.89597,42,11474012.245158,5915821.32398489
496,"Mongolia",4,30,"Eastern Asia","Country",103.0728057,46.83892054,"MNG","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",1.04523,1.77371,3.2392,3.9213,2.7226,43,11474012.245158,5915821.32398489
496,"Mongolia",4,30,"Eastern Asia","Country",103.0728057,46.83892054,"MNG","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",3.5467,6.04851,11.08497,13.28771,9.22822,44,11474012.245158,5915821.32398489
499,"Montenegro",5,39,"Southern Europe","Country",19.25214024,42.78717043,"MNE","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0,0,15.20941,11.07496,12.2413,45,2143138.44819749,5279632.91903182
499,"Montenegro",5,39,"Southern Europe","Country",19.25214024,42.78717043,"MNE","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0,0,6.7499,4.80787,5.30002,46,2143138.44819749,5279632.91903182
499,"Montenegro",5,39,"Southern Europe","Country",19.25214024,42.78717043,"MNE","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0,0,24.129,17.65283,19.51367,47,2143138.44819749,5279632.91903182
504,"Morocco",4,15,"Northern Africa","Country",-6.281942841,31.8440131,"MAR","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.47418,0.49162,0.50905,0.4184,0.49162,48,-699302.67825257,3742852.29421428
504,"Morocco",4,15,"Northern Africa","Country",-6.281942841,31.8440131,"MAR","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.12944,0.13408,0.13813,0.11208,0.13044,49,-699302.67825257,3742852.29421428
504,"Morocco",4,15,"Northern Africa","Country",-6.281942841,31.8440131,"MAR","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.83708,0.86991,0.9025,0.73926,0.86825,50,-699302.67825257,3742852.29421428
508,"Mozambique",4,14,"Eastern Africa","Country",38.18479941,-14.27963886,"MOZ","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",1.34875,1.11743,1.52723,2.27929,2.69104,51,4250712.42636449,-1606318.44660017
508,"Mozambique",4,14,"Eastern Africa","Country",38.18479941,-14.27963886,"MOZ","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.52472,0.43831,0.59395,0.88291,1.03908,52,4250712.42636449,-1606318.44660017
508,"Mozambique",4,14,"Eastern Africa","Country",38.18479941,-14.27963886,"MOZ","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.30694,1.89737,2.58709,3.84887,4.53499,53,4250712.42636449,-1606318.44660017
104,"Myanmar",4,35,"South-Eastern Asia","Country",96.51752295,21.19332882,"MMR","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.14325,0.73133,1.10831,1.67377,2.14122,54,10744281.5074221,2414945.97001108
104,"Myanmar",4,35,"South-Eastern Asia","Country",96.51752295,21.19332882,"MMR","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.05944,0.29958,0.4479,0.66981,0.85495,55,10744281.5074221,2414945.97001108
104,"Myanmar",4,35,"South-Eastern Asia","Country",96.51752295,21.19332882,"MMR","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.23547,1.20793,1.84248,2.788,3.5668,56,10744281.5074221,2414945.97001108
516,"Namibia",4,18,"Southern Africa","Country",17.21907885,-22.13817068,"NAM","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.70305,2.70021,2.19918,3.33072,3.14744,57,1916819.08951123,-2528122.37740137
516,"Namibia",4,18,"Southern Africa","Country",17.21907885,-22.13817068,"NAM","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.99223,0.99458,0.83455,1.26152,1.19934,58,1916819.08951123,-2528122.37740137
516,"Namibia",4,18,"Southern Africa","Country",17.21907885,-22.13817068,"NAM","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",4.62413,4.6053,3.71333,5.61864,5.29676,59,1916819.08951123,-2528122.37740137
520,"Nauru",4,543,"Oceania (exc. Australia and New Zealand)","Country",166.92313,-0.528742623,"NRU","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",5.75862,3.57761,6.03978,4.17752,4.17752,60,18581797.8332194,-58860.1949962164
